popularity,id,1_n,2_n
18,75V7zNfB94p5PQ3qnQf47G,31.33333,36.00000
6,6IS2KR6r60BZPOqOOEuvlK,15.00000,24.80645
26,4qLq0MatI5KT1xG49JK84A,23.50000,14.46154
12,0D76GidXzJyteIsEvApOXv,10.00000,15.00000
34,75tSsNh0EYP90xx0U4xcwu,27.00000,22.77143
22,2Cq21pgOVjJOkTKtnYBpL4,18.00000,22.00000
32,3hTiiarNmWWfbNqN7rkRsY,46.00000,47.00000
60,6HHje5tfmzWK8PsSaoJ9Xp,42.90909,43.35200
6,26FVAGgMv8HO5ixEMhtwds,31.00000,6.00000
55,7IvfKO66wMWnKaZHh34IoU,10.00000,55.00000
23,6jfByKIYqZiUyoKystLeKN,19.00000,24.60000
5,6qRc0ugjrPhhBAW7lQtUUS,15.00000,13.50000
8,3VXCWcx3NrpUA3zRP34Kdh,5.00000,8.00000
21,4e9KXOu93BZUx4WagJiAx2,36.00000,33.42857
3,0rsI0PBvRVxrXiEMWNfHVp,6.54545,6.47541
7,6NRlwEj1mJRV3tqejwOwts,8.12500,9.49020
59,6yRnpibMV9phmk5aIiqhVk,51.71429,52.36364
43,1aLC6PgrX4A5tfrpQozpQw,68.50000,54.94118
11,2FdUdx56ImUybEjDjZIs98,4.00000,30.80000
3,3pBiDwO8nhEruP5dDANr1G,25.00000,13.00000
26,78NePMJRUj4x06qJj3o5bP,21.00000,26.00000
7,5UHrHb4b1z650vdIvMBfqa,9.50000,9.08333
54,5q6W2V8zwYbrEA0SSEg0IX,79.00000,47.16667
52,5akLE4T9GWOcySnGtZdBC3,48.75000,48.80556
33,7n0DgT7oELfGWb30YlRatt,8.00000,14.17857
43,6YbvyuBTs8JbVj7iyurrJe,69.50000,58.71429
16,70yQzusWd5DK0SbZk9z6tN,12.50000,12.93750
15,7qYxIUr2PyCgdAos6nCMK1,15.00000,15.00000
3,1oBkrD500An2Qi34Nm4ciC,10.50000,7.66667
2,4yDhGdCovq5etL0N0wVmuz,4.75000,10.00000
24,7nKMI2etaVYFW6r9cTXKto,28.00000,32.87500
46,2tVU8TVXlrwk6KESQxLwH8,47.00000,39.76190
8,1oO19givz7kJVCzPmMRZhQ,18.00000,30.00000
1,7yP9FXisTk6UsgJRcIsEtr,1.00000,1.00000
37,6EpMECCzTmWDtnU08ME6hn,26.00000,13.50000
22,0yp1fxlkZqiO7XZFVv81Mh,7.50000,22.00000
24,0TBbjAcKVKKc8QwMoHPI9f,31.00000,24.00000
36,4R0tSGcVRQ8ZXPzttU8mHy,45.00000,28.70000
25,5LGWlKAdKW31qSd9oinB75,19.00000,12.33333
43,60Nh2f0WGbdJj50SRPyLC2,41.00000,43.00000
24,6Ej2mkedwLDb2dyGGBQmuJ,43.00000,18.33333
27,3RoTsOepyXOi2y3nwz52gJ,28.66667,28.10000
2,6GKcklMWDWYgC0sTwmIXqd,7.00000,16.29412
1,0dVe4BKjrtd5TCBgl3pKWQ,21.00000,22.28571
24,3GC0aj9cMmpG3r0zd3JcrQ,34.33333,28.04854
6,3GjCCv0vUVqukI1EdtB4OB,14.00000,10.33333
2,7FaEGcHPE7FwDl0q08l5nU,6.00000,5.35294
8,0b5MHrvCMgCi7nZdp8OKEI,7.33333,7.18085
53,0Ld26D4Ya5Od7ZZpLanfQJ,48.75000,60.67647
49,08nApps9ThD6cZD2jXC4vW,61.50000,48.10000
1,5WUMQW3ZAsLkyGHuukfR4E,12.00000,15.35714
37,2dUNoMDiZTj2FW98z43cwk,18.00000,27.50000
2,3KmWAZMwMUJ8dQOltiZAdo,2.88889,2.79012
2,15J9zHHVrIQSzX4mwBklZ6,3.00000,2.00000
12,16W9jzj18tHuwzml8dzVVi,11.00000,11.14286
41,7qY3EcnVR7pBXBzaHi3bYo,27.66667,33.40000
53,5DkmrXKeWgDS86KKEw45o6,44.00000,48.33333
9,1acaKZBRMGam0eqNo5buX2,9.69231,10.07602
5,6oHihSzz31kEYlW7KTJQMp,38.00000,18.07143
21,57cssSwd1aWW6iVeSzJy68,35.66667,26.15789
22,42eth8deySzysdjgtjd1aD,44.00000,22.00000
7,64qYn2HQw5UFmOZTXR0wuJ,12.00000,15.00000
6,5nbMOzqi8AG6zt3GlGIJp3,5.00000,6.00000
5,6QyyINqyfyYjndGMgTBrUB,7.75000,18.52381
61,00Z3UDoAQwzvGu13HoAM7J,48.00000,49.25000
18,3SFfPeA7XEb8NmhlEI661h,6.66667,20.00000
3,6VPN0oOLPxNDxWukkvAScM,4.00000,3.00000
20,0pHTbHtITAyUBHZlcCuVs9,24.66667,22.54545
33,2m1jLPALRhk6d4wGbsd6eP,32.00000,33.00000
54,5tDnwIxYT1LAYH37yBqg4Z,57.00000,47.62500
42,173BBRCDf7unNOeNIeP0OV,56.66667,46.00000
55,1QZYklqR55tZ6b5mK4LD41,16.00000,55.00000
18,28Y6wIWjcYYfpfurbvKVqL,23.00000,13.80000
2,6ZzWTJMZVSmN8lI7AFMmlt,5.00000,3.50000
2,77CZ5Gr04V1i0WjcpuHsRX,1.00000,1.50000
6,0MlVpngXutOAKCM9Bkaj02,20.00000,19.20370
36,2frQ74368SuSVnXGJCCgqU,45.00000,33.00000
22,5JaRDfKpSjc6H3gYJRuEkW,19.00000,26.62500
9,2V345a7hy5MHOQNtV91hRG,7.60000,26.31579
39,0vZEDTIhGPOIRL0KjqMWTy,49.50000,46.00000
7,3C6OGwQsjIZPpyt2IpsnTB,10.50000,5.46154
42,7Ihfoi68laeuxOhTJLCa4l,58.00000,29.23529
20,6Z9naBJnmxCyNZeWScd0cd,13.50000,16.75000
5,6hb1t4rTZYi6Eekr3E6KcO,3.00000,3.00000
15,57jvoWYjWbNtN1p42LQUHS,22.00000,15.00000
7,3X2yzJhHOWKomEHAsC8DBs,5.33333,5.57500
12,04yB3fD67gcxZCzLolOMKv,22.00000,20.33333
7,03h3gjHBkUp7VK8cAg4Nul,12.00000,9.50000
16,1WXM1vNLCxh8ip9ih9Vvn7,20.00000,16.00000
34,3Zhm1NMatrjbKS6HrDMjr6,77.00000,60.48387
25,454cRoiGliscM95RXMHeMY,27.00000,17.50000
22,43OuMHd3wvXYQlNsnzN0Cb,14.00000,22.00000
3,4LgKpIIZpth2fC16J9ZAn2,12.00000,9.50000
25,1mHKvmQJOQVhd1nLEkiAZr,23.30000,23.47000
28,28jT6lH1Z1y7wSoXN0RwQ2,48.75000,27.01752
4,1CnYzqOAuNHp5jBHtWc5Vo,30.00000,28.52941
11,2MT6FFJfcbG8auwu6kZjAr,24.50000,15.62500
6,0hbJqr0rLt4pCA9iDLJfup,4.66667,6.00000
1,51F1EroFu1f5zZlhG7P72p,8.66667,14.64706
7,0tkiNt1kAO6iulO0MOUolw,12.50000,17.66667
15,4bAFS16s5qBFYuOM4gQ5Xv,8.33333,12.16667
15,2rMMUAYksDdMei2PRRRikG,20.00000,19.66667
12,7bjN5YHVJdoMn3WLi10tNk,21.00000,12.00000
51,74ZHOTPP0eWWe9kLt8jHbP,61.66667,43.58065
1,269lCrEV0tebHbKCJWl0tg,1.20000,1.16000
7,6Q4SD9Pm8vhNwIFqI57YbB,14.00000,13.00000
16,7bLgW67JODFnEjss0gHyIe,20.50000,14.33333
52,4XMc1qHObZ7aXQrH5MmbjK,49.40000,48.92188
15,6tAPgOYjlnSonRExisWYPr,19.00000,15.33333
54,3xbpJdoJDLAfYn3ZeLlukg,48.90000,49.11268
37,346NbiSvL3sv2HC3O1Oni4,33.00000,35.20000
35,0TuY4R69fcHZJ5RVCun3lr,48.00000,39.42857
43,2qCwqpQzlQTlFIIggAQS9l,44.00000,45.10811
8,1rwHxekDVT1zeD0nLBF2Vq,6.00000,8.00000
27,7fgGZ4Na9jUlFetVzroY67,27.50000,27.25000
7,5PTJMc6EB8B0soH4As8kNJ,14.00000,7.00000
29,4ylBlZnpP9AeQYL3NCjyep,6.40000,10.92000
20,3svuHiMlS9vfGya3zl2fhb,21.00000,20.00000
3,72vOuSCAKknJwCTWsGV5Jt,17.00000,16.00000
13,37UV3xGQOXKcraVwTkpSCt,14.00000,13.00000
48,1deQzOQwArAsUgm2WdjtyI,33.00000,28.33333
8,1mnDmzlcxnxJ5Z3Y55JiLb,12.00000,8.00000
1,70ZjHyuDqBy7OR9hGuMA9Z,2.00000,1.00000
34,6I57k3VAHWPm8e7TD7Nxp3,22.25000,28.06383
42,5KTMtd3GnDdcWnwxcEBwKX,38.00000,42.00000
51,5z9Z1vlOXGvDLBgKfzdswn,35.00000,51.00000
26,52Hrtc5HpajtSFBtalDZ7u,30.00000,34.33333
24,7k1jHUZ4OqRGJcOjCQu28Y,25.00000,29.33333
13,4onypgNFPIHhPqEO7BYYIE,3.00000,13.00000
29,6BcdK38mr5woVzJLhCM9Sq,21.00000,24.00000
4,4WkpWTLZJ7E5AuwxUc7d4r,2.00000,4.00000
8,48uChCFQlxlUMuJYAoE6V3,14.00000,11.00000
59,6E94YMM50nYraxpkixvQuW,60.00000,59.00000
9,6fnQvL3k7inhG6vwbpFV7l,27.50000,23.70000
1,0u03crfsHT5wMaaqJtLC0N,8.00000,7.08333
12,4PaAyrLqrvlkqgiyF9xGtx,15.25000,19.79310
12,6QlbR125KHdUaP1REV8GXy,7.00000,38.50000
9,1TDyH64TWDTlo08FqlWg0n,32.00000,24.36105
23,1qkiQlFDfd13YQeOpJt313,23.25000,23.18750
37,4sctitB70tTmziCPMwYJJr,40.50000,34.33333
2,1ptIaWzES4q6J3U5BerVdP,13.00000,2.00000
42,2IVRdLuNrGmADqmGsL1RmM,21.50000,42.00000
36,0GfqvPCcAF38BA6m53flUi,22.00000,36.00000
26,2WhhDrNsLFLKyGsGklRfJX,19.50000,22.75000
4,4cMv92WGb05s6bdTkh9tBY,34.00000,24.66667
15,284gxkLAHMQn0rT3uIYCXT,20.00000,15.00000
10,4jio39DG0XFxnaScND06to,9.50000,7.55556
10,1JkIjayfiEEYvIaUYY4b7A,9.00000,10.00000
1,3QoxzVy68zrfrI7oDoMqOI,3.33333,5.66667
2,6IqYQfkG3QN6ccetMA5Y3l,1.00000,2.00000
22,4h5fHlhSEPJ2vFuapQzRyf,19.00000,36.00000
1,0KOv7rSWHtuVjluxScEB1A,31.00000,1.00000
3,3t7Mq6BNHGvMoscYIF0Q4i,3.00000,3.00000
1,7Fr7bKYmyttFB1DqGqJHwf,5.00000,3.71429
1,2USMJkpG8oIQV2Am1abbUc,1.00000,1.00000
21,0gr5W6FgzzoMwp7PhpMRqD,57.00000,29.19534
20,2OGak31MeSC0Q67WKg5Nud,19.00000,20.00000
41,2hAAbtwTIck3hAg28d4jMJ,33.00000,37.00000
12,25B296laEcMaYnllq1JAtg,55.00000,42.00000
11,5H9btXnRE6ztHpeN4F46hV,17.00000,8.00000
26,5kuBUn8xuU9w2Q8ys3WhDA,40.25000,45.47059
17,0ALCKoq60ZQIRlmwwKfRJ7,11.00000,11.00000
1,7dg9fOehNyahgJy5ytefps,16.00000,1.00000
17,7oG1pSnrZ0unVFdGWOPVUB,22.00000,19.50000
2,44Fdnt7ZP9VkRuyYHbrglj,7.75000,13.12500
41,3UYmA19wyTX7ebx0WFzhDC,30.33333,37.00000
27,2XInFFvpdu5Xxpwc6kE8hJ,42.00000,53.50000
23,1oBEBPFfVbFNENgKNukrxO,32.00000,29.25000
20,3YvZfBhksh0gerGexPdl0O,45.33333,47.77143
51,5mXYWM38dlAs01e3XQEtma,60.00000,57.79412
7,3S0xyOWzGjqGe5HRYL62YN,7.20000,7.23077
24,4GVk4QrXjy3J5SSNIDxWbz,16.00000,24.00000
26,1kSdRaJdfvhPEjyENE9mS9,26.00000,36.25000
29,7js5W6QEvMBO11O747BMUP,38.50000,30.63889
34,0XzjmqIqvTnie7suxhyFC1,36.00000,31.00000
5,5pF53KdsxnTA0InKzyLZcq,5.00000,5.00000
10,2FFlexiMwb751pi9xSDDXG,63.00000,34.71930
7,1teetAIDBzMwUhQX1ff07R,5.00000,5.66667
43,3HdBTStjnFIoDKFSUQ0V1H,36.00000,43.50000
54,29CTrnvjIYocNxv66Umt5B,42.09091,45.88462
4,1On5md58AOdwm6qbnw0LeQ,5.00000,4.50000
40,61Sbigb2Faz8K27wBoOBo9,49.00000,36.33333
19,6CrowZiPXE0WfF5xEzimLq,19.00000,30.50000
14,1shZp6ioaXNJtvROOSOCgG,28.00000,14.00000
50,2cZwVNd4sK0CCJ6BqY7U9H,46.55556,47.02353
29,6RQVbkxQcRhkvDEtOUc3Pn,22.00000,29.00000
30,7oU5AAW5FXppn4c3yKxVXK,32.50000,36.00000
40,4pOAPoZULtp57gpgrLqCPb,54.50000,40.00000
3,0p9vb0dDTKpEtkTtMMfAO2,45.00000,51.33333
41,51IT5y05qux2Um4bPUxzX6,56.00000,53.00000
21,0RKsF1pa3v0hhEeJbt5AxV,29.33333,30.45946
3,6F3xUcTnKsRmU72AY2hgGv,28.50000,31.07692
7,07drWzORj5OeTdm0f3IDPN,4.33333,12.44444
19,7GUeBvBovcktEUs3mpzf1r,19.50000,20.90323
23,72tkvQo3Xeor1E1nPvb4sm,22.33333,22.55556
28,4ikP3KN5qKAPbhyZOQUOFp,20.80000,26.23529
6,5tV4BJt3UUfQX6CMRBRKgz,14.00000,6.00000
28,5ab1YzPYsJXjDcne9zvtUP,32.00000,28.00000
24,1ZMZPShdaV7SHHydNutrtv,58.00000,47.86667
2,4VvEoHWM8qEkMBoi05QOl6,31.00000,34.25000
14,2uyse5x6TgSDE5mMIs7fp9,31.00000,27.77778
21,0lieo9QC2uAYM7zCdynAPN,24.28571,23.89091
5,44IvO3QKJTwlsb4HKQ9yXP,5.00000,6.56522
16,3S5YXrn5DlPgQm2cOu4EWY,10.00000,16.00000
12,0Tcdt3KvN1OEqHI8NuG5WB,23.00000,12.00000
21,744QOPtPxEmtOb0WXEQZzV,48.00000,52.68750
27,7858BL0tn4bW1cwHayYe9K,38.00000,24.50000
46,5cQzEZp11I3of5jdQ2GAVK,13.00000,29.50000
32,0pK1kMsD0cnIoFPL675cAa,20.00000,19.42857
31,7g2tk3e0kullWppB29c3h7,44.76923,44.11823
3,6Xib5UgaNJqtVxL87ZwiXR,33.50000,35.00000
1,55S1ikGBFGgcfdEZSl5x1v,1.00000,1.00000
6,05aPnbhVeotGKoDuzdvFHj,32.00000,33.50000
31,0ataZuIu0o6kvkzsxCjFtf,31.00000,31.50000
10,6d95s8ExyRPwyrY8A8enmd,26.00000,22.33333
12,5eVNx1rbr91fpZWzOOjayq,12.66667,12.44444
30,3PypgmeMQwQPRnUs9LDemV,25.00000,30.00000
11,1j2yBOp3xiD7AsVJsW7HYY,32.50000,27.38544
5,6ztoBjE6x6ysEGuWhc1PbD,14.00000,5.00000
15,2DTvpTHC0r3HvD6GW4BjSp,10.00000,13.66667
20,5sCRUrfA02147kqNTmgLhG,20.75000,20.56250
25,6xvXnxbQMHFVicpc2yka8j,37.00000,33.50000
46,6ZpOQK1OKdCybuOgMkdbUh,61.00000,64.16667
18,4CrXP7jR19TSvfH6YrIo6R,18.00000,18.00000
74,6gLW5LlLEXdtWaS0EWfzaJ,45.14286,57.85000
2,0YJflRsz0Q7j859K7JPQBG,43.00000,29.16667
21,2EeEMzpXQHMF9pgJjmm2Sb,56.00000,32.83333
2,51gm8opyilxayoyX3DMzEe,15.50000,13.69231
16,2p8Ut2yzdCUs7f1JDDzcUx,15.00000,15.50000
11,0FUF7QHfCvpvQhTydC6v6f,66.00000,27.65450
22,5uWJrA5m2FRzq2FnZAmL1W,32.00000,22.00000
32,74gbpHCmAvjZgLfFrC7gsW,31.00000,32.00000
26,2nnXewwbucNCVCgEcoJKbh,24.60000,25.34615
26,6kv92buVs9OtJH5gWRPd02,40.00000,36.57143
5,0cvYhEnzVavy5eFBGON4O0,2.00000,5.00000
2,1VtDtDuhfqks3WFUbQrc97,6.00000,2.00000
54,5pT9S3KV5SqnzKHpSYf3ko,30.50000,54.00000
13,5Y3QJ2xmcmWjSHCZ0ngPJV,4.00000,13.00000
31,5W9IB7FQxLR2zu3q0VtIZx,40.00000,31.00000
18,5bDg16VAS2EROEATWjvzUq,20.25000,18.88235
9,5JN98lRn6bmGRANpNO18yd,31.00000,9.00000
13,18nh2S9GbM0Fg40PUgg6ov,8.00000,13.00000
57,6NPvzQnxY7WwRMoN2qVBHU,34.00000,48.00000
18,766wo5YOpIMfTn1Ri0jKO4,10.50000,7.00000
11,6fEN8syfWB87Ak6A4AA7Kv,23.00000,24.91304
1,7DcBIHVb1g0OBpL0eXyuYI,1.00000,1.00000
25,6KwqkkAt5WfjKPdcI55XFO,33.33333,33.04082
7,31tsCL24CA9LiV3vh14BJ3,22.00000,17.33333
18,37jmOEOOaNZlLO0wNUWCV5,35.33333,35.33333
3,2Ga2WaalQaFsz0d9dClJ8M,17.50000,8.83333
1,5OQ3wp0tRy6S2aXZthO4xn,1.00000,1.00000
6,58o4fElFOSVDCWSuvpcS3S,62.00000,37.00000
28,75Re3LsiIVwH626PkAMrGP,62.00000,52.00000
3,4LdUrxQvFOM3x88m0P3GLn,3.00000,3.00000
5,0eVOZgggXCf2uZ4lEYve8Q,7.41667,8.50802
1,7iYZxc4ZGGQELMk9nAeXiX,8.00000,1.00000
19,7cHNfTiH7JEd6nIOKGbYsd,23.50000,19.40000
30,6rREDWo14PH0s8L1GEeZZ9,38.00000,33.34615
2,1WjElS5bG0Si5oNy0ATbTD,33.00000,42.50000
28,3cf8tGsp9KsZM98GnwzarR,34.00000,19.50000
47,2znuNoLW9zjOV0otN0qy2J,27.21429,26.46593
13,1nwqmVoGXHGiQ5oH8uyVZr,12.00000,13.00000
15,43cOuuQ4B2A2sBGrF3bDyr,33.00000,15.00000
56,2IAxPmQzx2NuutHe7ta7gs,47.14286,41.05224
57,6hYxQDiGct9yfRlSEv3F8a,42.25000,41.01064
1,09ypMN3NJAgWChiuKn4FwF,2.00000,1.00000
43,1JW9Q2DToFLptGpxXNKHWp,41.00000,31.80000
27,3quiO6Un8G55TpLqs3gRv8,18.00000,23.75000
1,3Yx98K9YAUUHvExVDhxRt2,4.00000,1.00000
13,12aPkak5WExyvZG8uF3aoR,21.81818,21.09333
31,0PyyoamnJX4tdrSf8r6dij,43.00000,33.80000
3,0u8p49RzAv5E5KA4195SR0,4.50000,3.75000
3,37GP5Bd4U7TR6MH2baxouL,4.50000,3.75000
6,49zBTaeVR5QO7QLpkc35Kt,3.00000,6.00000
56,0IdAjS2LRieBR3gzoazdAw,31.66667,38.00000
6,4iC1Grz4nLLJXjW9HldaTi,15.00000,16.00000
26,1oHeDpNYGLGhLqCbKxa8Du,42.50000,32.46154
32,6IaOUkLKnYH0q8Vm2AdhQ5,43.50000,36.96296
29,35heZ86wb4673IfTIqwoA6,37.50000,33.83333
17,4EimguZ0MU2MnhUdcxCwwK,20.33333,18.63636
2,1K5eXZuti5lP9UHqkSFvcV,25.00000,14.50000
46,7bKo8Jgp76YNToFednF7kT,19.00000,61.33333
26,7GIVuJMSHTPPCHv6qLm2ra,29.91667,29.85517
3,7aXUVbdyiTH5GoplGYWUPW,1.20000,1.56000
60,0qpRQJnULShIWFKhcW5pce,14.00000,32.00000
38,5By96BEFKNPjJ1yV27hnI5,44.80000,41.33333
5,1apBEu9beJhiQeylq2dFrv,5.00000,5.00000
4,2RW8pUGSdjPNanJNNACRSx,11.50000,15.40000
32,0iXqD1nqpUcsb023DeKEaK,33.00000,29.90000
2,20iYlDJgV9zLL4rVSmvGDo,2.00000,2.00000
37,6AeQsb3Y8eAF8r0xBJaTXp,41.00000,25.50000
27,2mdy3r6keNMSqB6BupMzsZ,32.30769,31.83333
5,4Eiho0pljVPqc3zc6spTSY,35.00000,21.00000
17,3pe5jgIKhkaB1yaa1NiWtS,26.20000,26.39130
42,6AKWjx5wmOI3bCeLrxFjgv,38.16667,36.03704
21,7gBLU8dCvhvx93O9CC8M8y,28.66667,28.70000
7,5w1g3XcgRpbREElC0OxQvC,7.00000,7.00000
3,6KwoOHTofMWsUg3xsA2JEC,3.00000,3.00000
43,0RWcEfIRdgfnk750svBSvZ,49.50000,46.20000
21,76gKueHteVltusfQN5Hsvg,15.00000,21.00000
30,4kmq4NmMAD2EB24v6Il3qr,33.00000,21.66667
29,4COmN2IoFGwUaWAUnuZ26Q,35.00000,29.00000
7,71746ujQesEshdWI9OIOsG,5.00000,7.00000
19,1JhX79BB61GOPfPwk1N81H,31.00000,19.00000
30,4ooQnDvpmzEtecSvU9tHJ1,5.63636,7.85124
2,7eN3HBHmorkAizPkBcfeCb,6.00000,2.00000
37,67RmjpcaDCjcdKMiBuamuV,49.00000,33.12500
35,2YLgUIzk2Ijs1Qz4vus5vZ,29.00000,43.44444
34,0kCPdfcspHbuEplkmEGBgU,23.00000,34.00000
55,0SkYTcVrcBJRNfV6KfUWAY,44.43750,44.62840
6,40ITjgWYjb6C835nL24kwZ,10.36364,9.96694
32,1Y35rh5OR2IEcRW2UmLBEv,15.77273,16.47277
33,6VudYJdJp1mnLYzip6B8Sg,46.66667,44.31579
47,1XuElPB6cXvizvximkfS01,68.00000,42.95652
13,3sJFePLF8uUp0s8YDBOhM4,57.00000,36.60000
39,1rVbmzDLNj0HzO8WbjUwHj,15.50000,39.00000
31,0MdOg4Cai2NlU8oLeaSJ5z,32.40000,30.50000
29,2BQnWxr7muleTey50XBtAt,38.25000,27.95000
2,4ovECUAy5yR1hxEHopq1Zr,6.00000,9.22222
34,0Xby6OpjBTxkbiGyhJU8RA,29.25000,48.56250
4,0Q6eZ4nsm2QFlMHmAcbetj,3.00000,4.00000
39,7D5S8dldpjXQmdWCDnBtOL,50.00000,39.00000
24,1VBgmJ3gl9gZkapG09sUVO,28.00000,27.00000
21,083cZxSRtIoxShkZRkRSIp,45.00000,29.87500
15,2LPaRqBDqHJbbxt6lovXlR,13.14286,16.13953
32,413rPqZ1Tgx88r6uZTxZHU,45.25000,40.54054
31,4mNqgCpPwkwYyr6xlqJViu,38.00000,31.00000
24,7N0ffqIuui8xHu7PBrxf5q,63.00000,25.00000
43,2yPVS2x96IoUdO7t68VUjH,34.50000,37.34483
27,1TD1lnJqWX0qPq4nhfxrsx,15.22727,16.48802
8,1wGgkCyU4obFYUTCeXGsYS,15.00000,8.00000
3,7D05JxDwgsxcmuqx9k7x4n,9.56250,9.55682
9,6esodUUPglOFQpehfv1Nze,30.33333,26.90000
66,1BrFcFtIp3ZqvuI5C0VcK3,56.00000,60.66667
52,5jysNZ8I6vAiNTsFbrIj1K,29.60000,44.50000
3,1trIGppF2UsCEsbJPijmAw,29.00000,3.00000
12,1f7w6FIrjqUo4LyCdzzTV0,38.00000,26.27778
25,79JzPYyWKD2hXF9RmHLIxr,28.50000,26.56522
10,7h6CNCiO7u8RQExiDaxVBG,23.60000,25.35714
5,3tVDz64FJOwqdzPRq0EtCL,13.66667,17.21667
26,1gFaP9K5NYWzaBLZkFx4ch,27.00000,31.75000
28,3nOQl0lfkC61wfkDoVL5tJ,74.00000,42.30303
9,6y0n4RB5B96l3Ye0o21hqS,5.00000,9.00000
6,7lQtAc99RLF9XHjNVybVEs,6.29268,6.40659
10,5anByZL38ayUaLg0TYY5LM,4.00000,10.00000
12,3A3T9e3nO84Hpzhu6Am8OZ,6.00000,12.00000
20,4nCwJgk5FW7Fr0IgfXvGFJ,28.00000,19.66667
8,5sDnPhZdAs4FW1ewepXdFj,14.00000,8.00000
41,3QNeNol7scVLjx1uYCTyzx,49.50000,46.73171
53,0P1CKlruhcbhbq7yA5oh83,33.00000,48.00000
45,18NGy21sY9r3yZ143SEwAv,58.00000,48.38462
53,0fYw4bch7qTxBZLS3rSVMj,61.33333,58.23810
1,2B2yqS9x0TrPzNCRgIkuKB,2.00000,1.00000
12,70CtE72vbHxGpv7mrvZH05,28.00000,27.00000
51,33NScerSaBJ9Y1YndrE5sL,60.00000,45.00000
12,6r3sz2SoY56xHGNirnYykh,25.00000,29.34118
